Designator,Mid X,Mid Y,Rotation,Layer
R82,87.252578,-110.058095,90.0,top
R83,78.464178,-108.936495,90.0,top
R84,87.252578,-107.643095,270.0,top
R85,70.080178,-107.035495,180.0,top
R86,72.573378,-112.191695,0.0,top
R87,87.252578,-112.523895,90.0,top
R88,74.093378,-100.228295,0.0,top
R89,45.8978,-118.020365,90.0,top
R9_2,100.474112,-112.1156,180.0,top
R9,111.123982,-27.843006,270.0,top
R90,54.229,-114.388165,180.0,top
R91,86.084178,-114.401495,180.0,top
R92,77.752978,-118.033695,90.0,top
SW1_2,114.924712,-110.3122,0.0,top
SW1,51.181,-62.1284,0.0,top
SW2,83.038537,-62.1284,0.0,top
SW3,115.055482,-62.128006,0.0,top
SW4,51.181,-110.298765,0.0,top
SW5,83.036178,-110.312095,0.0,top
VR2_2,116.093112,-82.1182,270.0,bottom
